Number,LAT,LON,Jurisdiction,Station_name,x1,x2,x3,x4,Area,FDC.total,runoff,rbias,NSE,r.sq.sqrt,r.sq.log,objFun,FDC.low,FDC.mid,FDC.high,AC,Peaks,slope,KGext
105101A,-15.2822,144.8377,QLD,Normanby,264.5652382,-10,112.3001073,2.318144244,2305.8,0.9443,0.197711669,-0.01292542,0.618494805,0.81109022,0.672908364,0.817379803,0.987312139,0.990790378,0.93847615,0.98940978,0.957575758,0.951201413,3
105105A,-15.768,145.013,QLD,East,225.627072,-5.188372738,105.0734313,0.970483161,296.8,0.9551,0.262116142,0.012770167,0.80280249,0.839213669,0.726104406,0.875974593,0.975662813,0.980160367,0.981426762,0.979487455,0.754329004,0.971448763,3
108002A,-16.1807,145.2808,QLD,Daintree,2000,-10,125.8064824,1.108329654,907.3,0.9878,0.280109758,0.024977382,0.899046576,0.845950604,0.840901281,0.869209201,0.966666667,0.99255441,0.956732799,0.85961709,0.871645022,0.977385159,2
112002A,-17.5653,145.9062,QLD,Fisher,1282.564986,-5.67352032,239.484314,0.742068423,16.2,0.9189,0.531020183,-0.038857219,0.833602884,0.878151407,0.873302767,0.904542289,0.55761079,0.360824742,0.386872098,0.624799673,0.906926407,0.668551237,1
112102A,-17.7147,145.9057,QLD,Liverpool,1440.149657,1.056052133,216.5489786,0.886731396,77.8,0.9872,0.612709888,-0.006796194,0.849751944,0.856138398,0.842608559,0.87840915,0.689788054,0.639175258,0.567327986,0.9571693,0.696969697,0.461484099,1
113004A,-17.7396,145.6301,QLD,Cochable,2000,-0.228676164,194.2785258,0.500022118,95.5,0.9634,0.500618634,-0.013636523,0.760759429,0.839230315,0.865726062,0.842443835,0.868978805,0.819014891,0.924018573,0.880360638,0.714285714,0.867137809,11
116006B,-18.489,145.936,QLD,Herbert,2000,-2.297568519,21.4833552,2.273334983,7486.7,0.9627,0.158740234,0.015067617,0.757445169,0.761430479,0.740187526,0.788768198,0.985028902,0.977812142,0.927395526,0.835524424,0.766450216,0.942473498,2
116010A,-18.2042,145.5371,QLD,Blencoe,50,4.650138601,168.9231604,1,223.7,0.9435,0.480293281,-0.009088247,0.72337077,0.706003866,0.599743347,0.771700586,0.849518304,0.964490263,0.942275222,0.135894047,0.957359307,0.874840989,11
116011A,-17.6046,145.477,QLD,Millstream,522.174628,2.611571917,157.5060076,1.084941664,90.1,0.9609,0.383298551,-0.025344709,0.886011402,0.876227246,0.841597322,0.900269443,0.983236994,0.840778923,0.713486703,0.809646838,0.84978355,0.735689046,11
116012A,-18.067,145.3399,QLD,Cameron,260.940909,3.179603686,61.01516081,1,365.2,0.89,0.351857487,0.008959823,0.705724941,0.549882481,0.070953926,0.628957224,0.705491329,0.876517755,0.909349937,0.545884972,0.944588745,0.936890459,11
116014A,-17.6266,145.2959,QLD,Wild,261.9755377,0.992781942,42.39198213,1.243091815,587.6,0.9667,0.251470944,0.004999203,0.856835085,0.807093508,0.196523706,0.860174338,0.920087861,0.952428408,0.996095399,0.805523542,0.963852814,0.957526502,11
116015A,-17.7371,145.4363,QLD,Blunder,450.6900948,2.22350784,36.90521523,1.262579148,127.4,0.9395,0.424024163,0.00322557,0.791779694,0.768217647,0.64555217,0.793879353,0.650674374,0.900343643,0.971506965,0.730398958,0.714935065,0.855123675,11
136202D,-26.3007,152.0433,QLD,Barambah,50,-7.135340717,35.53707791,2.384333804,646.6,0.7319,0.071165807,-0.017738696,0.381291201,0.412661938,0.058822256,0.449333043,0.996737958,0.99683047,0.986829886,0.553904058,0.987705628,0.989830389,14
137101A,-25.0862,152.2405,QLD,Gregory,397.5736336,-0.135954029,5,2.194643493,453.2,0.9549,0.139641399,0.006421373,0.684149883,0.749134407,0.146287176,0.764064841,0.990352601,0.977838717,0.940080203,0.97416225,0.946709957,0.951215548,14
137201A,-25.2666,152.3684,QLD,Isis,173.985059,-0.932560398,11.62802473,1.311107715,449.3,0.9345,0.16178679,0.007734318,0.723441102,0.837223961,0.510408639,0.858753486,0.99263025,0.990712486,0.976044745,-0.001270871,0.94995671,0.982219081,14
