Number,LAT,LON,Jurisdiction,Name,x1,x2,x3,x4,Area,CF,runoff,rbias,NSE,r.sq.sqrt,r.sq.log,Viney,FDC.low,FDC.mid,FDC.high,AC,Peaks,Slope,KGext,Type
105101A,-15.2822,144.8377,QLD,Normanby,317.1981955,-10,113.0572883,2.523071275,2305.8,1593.609985,0.207800871,-0.003959373,0.741884801,0.840601142,0.64960591,0.830815542,0,0.02359,13,0.8182,2.251,0.0998,A,Ephemeral
105105A,-15.768,145.013,QLD,East,395.1137225,-4.474043728,118.2350014,1.305507684,296.8,2398.807614,0.295223919,-0.025826549,0.74956793,0.794000384,0.7049438,0.810401845,0,0.06095,17.48,0.6443,3.526,0.2472,A,Ephemeral
108002A,-16.1807,145.2808,QLD,Daintree,1148.695398,-10,137.8849519,1.293477356,907.3,5710.81935,0.338711526,-0.021262679,0.82235743,0.825545693,0.706837638,0.850633466,0.1447,0.6156,29.72,0.6512,8.759,1.226,A,Perennial
112102A,-17.5653,145.9062,QLD,Fisher,1254.137813,2.087032014,492.0719098,1,16.2,10952.04563,0.615774112,-0.01978802,0.724030815,0.8649965,0.909949132,0.873059535,0.8372,2.442,28.72,0.8304,19.18,3.023,A,Perennial
113004A,-17.7396,145.6301,QLD,Cochable,1017.751031,5.497005265,110.248692,1.129751095,95.5,9796.463765,0.724941108,-0.02006085,0.845065436,0.880799388,0.881308566,0.897231206,0.6741,2.283,28.79,0.8314,15.7,2.791,Cwa,Perennial
116006B,-18.489,145.936,QLD,Herbert,851.0733964,-10,112.4281905,1.241350688,7486.7,1120.517548,0.135732482,-0.070312109,0.449567379,0.636997923,0.548455172,0.634799054,0.0146,0.1186,7.486,0.8822,1.812,0.184,A,Perennial
116010A,-18.2042,145.5371,QLD,Blencoe,139.0169979,2.591644805,28.71066817,1.296324112,223.7,2846.330137,0.546333314,0.01670815,0.690973493,0.712498326,0.439873835,0.734645728,0.06444,0.3633,12,0.7705,4.912,0.5927,Cwa,Perennial
116011A,-17.6046,145.477,QLD,Millstream,126.7574273,2.750144894,83.69681459,1.229190604,90.1,3674.388801,0.511784648,-0.033949596,0.694431919,0.720243766,0.620321566,0.740549671,0.09261,0.6457,13.78,0.5251,6.051,1.082,Cwa,Ephemeral
116012A,-18.067,145.3399,QLD,Cameron,66.88589101,0.978445186,8.395322065,1.257167706,365.2,1977.089081,0.433087684,0.005686203,0.358888272,0.355737169,-0.005518891,0.394504627,0.02167,0.1669,13.71,0.6177,2.622,0.2917,Cwa,Ephemeral
116014A,-17.6266,145.2959,QLD,Wild,124.1398612,1.018959191,19.48354484,1.152472488,587.6,1420.6529,0.311654676,0.013953105,0.705111011,0.719968283,0.281552539,0.75806913,0,0.06512,8.492,0.6193,2.265,0.2196,Cwa,Ephemeral
