Number,LAT,LON,Jurisdiction,Name,x1,x2,x3,x4,Area,CF,runoff,rbias,NSE,r.sq.sqrt,r.sq.log,Viney,FDC.low,FDC.mid,FDC.high,AC,Peaks,Slope,KGext,Type
105101A,-15.2822,144.8377,QLD,Normanby,264.5652382,-10,112.3001073,2.318144244,2305.8,1422.486036,0.197711669,-0.01292542,0.618494805,0.81109022,0.672908364,0.817379803,0,0.00993,11.34,0.8643,2.167,0.03566,A,Ephemeral
105105A,-15.768,145.013,QLD,East,225.627072,-5.188372738,105.0734313,0.970483161,296.8,1978.748825,0.262116142,0.012770167,0.80280249,0.839213669,0.726104406,0.875974593,0,0.04872,16.43,0.7675,2.462,0.1726,A,Ephemeral
108002A,-16.1807,145.2808,QLD,Daintree,2000,-10,125.8064824,1.108329654,907.3,4913.60539,0.280109758,0.024977382,0.899046576,0.845950604,0.840901281,0.869209201,0.1839,0.6438,21.01,0.6807,7.889,1.312,A,Perennial
112002A,-17.5653,145.9062,QLD,Fisher,1282.564986,-5.67352032,239.484314,0.742068423,16.2,12612.93978,0.531020183,-0.038857219,0.833602884,0.878151407,0.873302767,0.904542289,0.5541,2.744,44.3,0.5407,20.17,4.17,A,Perennial
112102A,-17.7147,145.9057,QLD,Liverpool,1440.149657,1.056052133,216.5489786,0.886731396,77.8,11637.91452,0.612709888,-0.006796194,0.849751944,0.856138398,0.842608559,0.87840915,0.6147,2.207,41.68,0.7108,19.06,3.26,A,Perennial
113004A,-17.7396,145.6301,QLD,Cochable,2000,-0.228676164,194.2785258,0.500022118,95.5,9029.941883,0.500618634,-0.013636523,0.760759429,0.839230315,0.865726062,0.842443835,0.7264,2.226,26.71,0.7671,12.6,2.949,Cwa,Perennial
116006B,-18.489,145.936,QLD,Herbert,2000,-2.297568519,21.4833552,2.273334983,7486.7,1466.327899,0.158740234,0.015067617,0.757445169,0.761430479,0.740187526,0.788768198,0.01589,0.09244,10.56,0.8955,1.343,0.1701,A,Perennial
116010A,-18.2042,145.5371,QLD,Blencoe,50,4.650138601,168.9231604,1,223.7,2484.203573,0.480293281,-0.009088247,0.72337077,0.706003866,0.599743347,0.771700586,0.09506,0.3335,14.84,0.4714,2.517,0.4542,Cwa,Perennial
116011A,-17.6046,145.477,QLD,Millstream,522.174628,2.611571917,157.5060076,1.084941664,90.1,3097.682331,0.383298551,-0.025344709,0.886011402,0.876227246,0.841597322,0.900269443,0.1237,0.6031,12.33,0.7809,4.425,0.8148,Cwa,Perennial
116012A,-18.067,145.3399,QLD,Cameron,260.940909,3.179603686,61.01516081,1,365.2,1677.148174,0.351857487,0.008959823,0.705724941,0.549882481,0.070953926,0.628957224,0.01661,0.1446,10.45,0.4437,1.605,0.2375,Cwa,Ephemeral
